incident_id,date,category,severity_level,sla_breached,time_to_resolve_hours,root_cause,region,channel,subsystem,is_repeated_incident,financial_impact_usd
7339,2023-07-02,Funds Transfer,Low,Yes,3.7,Vendor Delay,LATAM,Mobile,Authentication Server,0,1059.21
55,2023-07-02,Payments,Medium,No,10.6,Policy Exception,APAC,Branch,Payments Gateway,0,1645.7
5072,2023-07-02,Funds Transfer,Low,No,13.0,Network Issue,North America,API,Payments Gateway,0,1336.67
10265,2023-07-02,Login/Authentication,Medium,No,15.1,User Error,APAC,Branch,Data Warehouse,0,2456.67
150,2023-07-02,Settlement Delay,Critical,No,8.2,System Error,North America,Branch,Risk Scoring Engine,0,2325.14
189,2023-07-02,Card Transactions,Low,No,15.8,Policy Exception,LATAM,API,Core Banking,1,116.86
4843,2023-07-02,Card Transactions,Low,No,13.1,User Error,EMEA,Branch,Data Warehouse,0,2009.52
7281,2023-07-02,Payments,Low,Yes,8.7,Configuration Issue,North America,API,Risk Scoring Engine,0,2417.72
9558,2023-07-02,Card Transactions,Low,No,7.3,Policy Exception,LATAM,Mobile,Data Warehouse,0,720.62
1547,2023-07-02,Settlement Delay,Medium,No,8.2,System Error,North America,Mobile,Core Banking,0,2621.9
5717,2023-07-02,Fraud Alert,Low,No,11.4,Network Issue,APAC,Web,Authentication Server,0,2565.57
1379,2023-07-02,API Failure,Low,No,13.7,Vendor Delay,APAC,API,Core Banking,0,1094.52
11571,2023-07-02,API Failure,High,No,12.0,Policy Exception,APAC,Mobile,Authentication Server,0,2459.69
5758,2023-07-02,Fraud Alert,Low,No,11.4,Network Issue,APAC,Web,Customer Onboarding,1,1360.26
7407,2023-07-02,API Failure,Low,Yes,13.7,Vendor Delay,LATAM,Mobile,Data Warehouse,0,937.84
1298,2023-07-02,Funds Transfer,Low,Yes,7.0,Policy Exception,LATAM,Mobile,Payments Gateway,0,1536.07
3646,2023-07-02,API Failure,Medium,No,14.6,Network Issue,North America,Web,Data Warehouse,0,47.52
3302,2023-07-03,Login/Authentication,Low,No,11.3,Policy Exception,EMEA,Web,Authentication Server,0,33824.41
5605,2023-07-03,Login/Authentication,Low,No,14.1,System Error,North America,API,Payments Gateway,0,2846.93
4676,2023-07-03,API Failure,Low,No,1.4,Policy Exception,APAC,Web,Payments Gateway,0,16896.34
9725,2023-07-03,Login/Authentication,Medium,No,10.3,Vendor Delay,EMEA,Mobile,Data Warehouse,0,751.97
2644,2023-07-03,API Failure,Low,No,9.4,Vendor Delay,LATAM,Web,Data Warehouse,0,1112.5
9254,2023-07-03,Account Update,Medium,No,11.2,Vendor Delay,APAC,Mobile,Risk Scoring Engine,0,876.77
7905,2023-07-03,Fraud Alert,Low,No,13.9,Vendor Delay,APAC,Web,Customer Onboarding,0,678.51
2758,2023-07-03,Fraud Alert,Low,Yes,11.3,User Error,EMEA,Web,Authentication Server,0,36.38
6986,2023-07-03,Settlement Delay,Low,No,11.8,Vendor Delay,North America,API,Risk Scoring Engine,0,333.16
3168,2023-07-03,Fraud Alert,Low,No,7.9,User Error,LATAM,Mobile,Customer Onboarding,1,1514.52
642,2023-07-03,Payments,Low,No,11.0,Network Issue,APAC,API,Authentication Server,0,2049.57
9204,2023-07-03,Payments,Low,No,13.6,Network Issue,LATAM,Mobile,Core Banking,0,2373.12
1511,2023-07-03,Settlement Delay,Medium,No,6.3,Network Issue,North America,Mobile,Core Banking,0,49232.14
10532,2023-07-03,Card Transactions,Low,No,14.3,Configuration Issue,EMEA,Web,Authentication Server,0,691.58
6941,2023-07-03,Login/Authentication,Low,No,9.1,Configuration Issue,North America,Web,Risk Scoring Engine,0,765.16
1085,2023-07-03,Funds Transfer,Medium,No,7.7,Network Issue,APAC,Web,Customer Onboarding,0,783.83
9441,2023-07-03,Funds Transfer,Low,No,0.5,Policy Exception,LATAM,Branch,Customer Onboarding,0,1329.81
1127,2023-07-03,Account Update,Medium,No,8.9,User Error,EMEA,API,Risk Scoring Engine,0,778.83
9737,2023-07-03,Fraud Alert,Low,No,13.6,User Error,EMEA,Web,Customer Onboarding,0,2808.13
9766,2023-07-03,Fraud Alert,Medium,No,10.8,User Error,EMEA,API,Authentication Server,0,26348.54
8896,2023-07-03,Payments,High,No,6.8,Configuration Issue,APAC,Mobile,Risk Scoring Engine,0,2489.11
5439,2023-07-04,Funds Transfer,Medium,Yes,7.8,Vendor Delay,EMEA,API,Payments Gateway,0,999.2
943,2023-07-04,Funds Transfer,Low,No,7.5,Configuration Issue,APAC,API,Payments Gateway,0,2609.77
695,2023-07-04,Settlement Delay,Low,No,11.6,User Error,APAC,Branch,Customer Onboarding,0,1005.43
7588,2023-07-04,API Failure,High,No,18.0,Policy Exception,North America,Mobile,Core Banking,0,2929.24
5228,2023-07-04,Payments,Low,No,15.7,Vendor Delay,LATAM,Mobile,Customer Onboarding,0,1322.34
9312,2023-07-04,Card Transactions,Low,No,2.5,User Error,EMEA,API,Customer Onboarding,0,2555.64
5495,2023-07-04,Fraud Alert,Low,No,7.2,System Error,APAC,Mobile,Risk Scoring Engine,0,747.84
10085,2023-07-04,API Failure,Low,No,6.6,System Error,EMEA,Mobile,Authentication Server,0,1715.66
4056,2023-07-04,Fraud Alert,High,Yes,1.7,Vendor Delay,APAC,Branch,Authentication Server,0,2830.3
6951,2023-07-04,Account Update,Low,Yes,10.7,Policy Exception,LATAM,API,Customer Onboarding,0,1106.42
3898,2023-07-04,Funds Transfer,Medium,No,9.9,User Error,APAC,API,Risk Scoring Engine,0,781.6
2873,2023-07-04,Settlement Delay,Medium,Yes,0.5,Network Issue,EMEA,API,Customer Onboarding,0,506.8
9493,2023-07-04,Fraud Alert,High,Yes,11.1,System Error,North America,Web,Payments Gateway,0,22.13
7911,2023-07-04,Funds Transfer,Low,No,19.0,Policy Exception,LATAM,API,Core Banking,0,68.37
11087,2023-07-05,Payments,Low,No,12.6,Policy Exception,LATAM,API,Data Warehouse,0,2951.41
100,2023-07-05,Settlement Delay,High,No,12.6,Network Issue,LATAM,Web,Core Banking,0,551.71
5151,2023-07-05,Account Update,Low,No,8.1,Policy Exception,APAC,Branch,Payments Gateway,0,631.95
519,2023-07-05,Payments,Low,No,14.6,Policy Exception,LATAM,Branch,Payments Gateway,0,123.95
2743,2023-07-05,Payments,Medium,Yes,1.9,Policy Exception,North America,Mobile,Core Banking,0,2596.72
3839,2023-07-05,Settlement Delay,Medium,No,8.4,Configuration Issue,North America,Branch,Core Banking,0,49.87
8447,2023-07-05,Funds Transfer,Low,No,7.5,Network Issue,LATAM,Branch,Customer Onboarding,0,2519.5
10430,2023-07-05,Funds Transfer,Low,No,16.0,System Error,North America,API,Customer Onboarding,0,515.45
9354,2023-07-05,Login/Authentication,Critical,No,12.5,User Error,APAC,API,Customer Onboarding,0,1056.37
609,2023-07-05,Card Transactions,Low,No,7.1,Configuration Issue,APAC,Web,Risk Scoring Engine,0,211.58
741,2023-07-05,API Failure,Critical,No,4.2,Configuration Issue,LATAM,API,Core Banking,0,900.93
8328,2023-07-05,Settlement Delay,Medium,No,12.3,User Error,LATAM,Web,Payments Gateway,1,1556.42
301,2023-07-05,API Failure,Medium,No,6.7,Network Issue,North America,Mobile,Core Banking,0,858.03
10931,2023-07-05,Settlement Delay,Medium,No,12.5,Network Issue,North America,API,Payments Gateway,0,1648.66
9109,2023-07-05,Settlement Delay,High,No,10.1,Network Issue,LATAM,API,Core Banking,0,369.14
3792,2023-07-05,Login/Authentication,Medium,No,5.9,Policy Exception,North America,Mobile,Payments Gateway,0,1260.06
3746,2023-07-05,API Failure,Critical,No,4.2,Network Issue,North America,Branch,Data Warehouse,0,732.06
3900,2023-07-06,Payments,Medium,No,10.6,Vendor Delay,APAC,API,Payments Gateway,0,9268.53
9462,2023-07-06,Account Update,Low,No,14.7,Vendor Delay,EMEA,Web,Customer Onboarding,0,2030.44
6313,2023-07-06,API Failure,High,No,12.0,User Error,APAC,Mobile,Data Warehouse,0,1249.42
691,2023-07-06,Funds Transfer,Medium,No,16.1,System Error,LATAM,Web,Risk Scoring Engine,0,1300.67
6600,2023-07-06,Card Transactions,Low,No,7.1,Configuration Issue,LATAM,Web,Customer Onboarding,0,39736.84
11167,2023-07-06,Card Transactions,Low,Yes,9.7,Network Issue,EMEA,Web,Core Banking,0,1418.98
3907,2023-07-06,Funds Transfer,Low,No,9.6,User Error,EMEA,Branch,Data Warehouse,0,2715.15
3613,2023-07-06,Funds Transfer,Low,No,12.3,Configuration Issue,LATAM,Mobile,Risk Scoring Engine,0,619.21
10418,2023-07-06,Card Transactions,Medium,No,18.0,User Error,EMEA,Mobile,Payments Gateway,0,1500.04
5712,2023-07-06,Account Update,Medium,No,9.4,System Error,LATAM,Mobile,Risk Scoring Engine,0,311.49
3835,2023-07-06,Funds Transfer,Low,No,8.2,User Error,APAC,Branch,Payments Gateway,0,2805.06
11168,2023-07-06,Funds Transfer,Medium,No,9.5,Vendor Delay,APAC,Branch,Data Warehouse,0,2607.46
8802,2023-07-06,Funds Transfer,Low,No,10.3,Vendor Delay,APAC,Branch,Data Warehouse,0,2166.43
7258,2023-07-06,Funds Transfer,Low,No,4.8,Vendor Delay,EMEA,Mobile,Core Banking,0,342.38
3197,2023-07-06,Payments,Low,No,13.6,Vendor Delay,North America,Mobile,Data Warehouse,0,2361.8
9753,2023-07-06,Fraud Alert,Low,Yes,8.3,Configuration Issue,LATAM,Branch,Data Warehouse,0,708.48
9526,2023-07-06,Funds Transfer,High,No,7.2,User Error,EMEA,Branch,Payments Gateway,0,2639.07
3702,2023-07-06,Funds Transfer,Low,No,2.3,User Error,North America,API,Authentication Server,0,1676.87
1223,2023-07-07,API Failure,Medium,No,6.7,User Error,North America,Mobile,Customer Onboarding,0,312.63
6760,2023-07-07,Account Update,Low,No,4.7,User Error,EMEA,API,Authentication Server,0,2313.62
2378,2023-07-07,Card Transactions,Medium,No,15.1,System Error,North America,Web,Payments Gateway,0,2898.36
7417,2023-07-07,Login/Authentication,Low,Yes,10.1,Configuration Issue,EMEA,Web,Core Banking,1,935.27
6255,2023-07-07,Fraud Alert,Low,No,15.9,Policy Exception,APAC,Mobile,Payments Gateway,0,2786.28
5303,2023-07-07,Login/Authentication,Critical,Yes,11.8,Policy Exception,LATAM,Web,Risk Scoring Engine,0,1292.65
1324,2023-07-07,Payments,Low,No,8.0,Configuration Issue,LATAM,Web,Payments Gateway,0,2396.46
4627,2023-07-07,Settlement Delay,Medium,No,8.4,Vendor Delay,North America,Mobile,Customer Onboarding,1,1920.88
641,2023-07-07,Payments,Low,No,9.9,User Error,North America,API,Payments Gateway,1,1032.39
4232,2023-07-07,Funds Transfer,Low,No,9.3,Configuration Issue,EMEA,Branch,Payments Gateway,1,2808.61
8845,2023-07-07,Settlement Delay,Low,No,11.4,Configuration Issue,APAC,Mobile,Authentication Server,1,1347.92
6267,2023-07-07,Payments,Low,No,18.0,System Error,EMEA,Branch,Data Warehouse,1,1878.81
8569,2023-07-07,Fraud Alert,High,No,8.1,User Error,North America,Web,Risk Scoring Engine,0,309.73
1175,2023-07-07,Login/Authentication,Low,Yes,8.9,Configuration Issue,EMEA,Mobile,Customer Onboarding,0,2724.3
3262,2023-07-07,Login/Authentication,Low,No,7.7,Configuration Issue,APAC,Web,Core Banking,1,76.81
1688,2023-07-07,Fraud Alert,Low,Yes,7.7,Network Issue,North America,Branch,Payments Gateway,0,2926.73
6391,2023-07-07,API Failure,Low,Yes,10.4,Network Issue,LATAM,Web,Data Warehouse,1,1463.9
5754,2023-07-07,Settlement Delay,Medium,No,11.4,Configuration Issue,LATAM,Mobile,Data Warehouse,0,376.98
910,2023-07-07,API Failure,Medium,No,13.5,Policy Exception,North America,Branch,Core Banking,0,710.2
3086,2023-07-07,Account Update,Medium,No,11.3,Configuration Issue,APAC,Mobile,Risk Scoring Engine,0,1863.2
6106,2023-07-07,Account Update,Medium,No,12.9,System Error,North America,Mobile,Core Banking,0,1164.24
7685,2023-07-07,Settlement Delay,Low,No,12.1,System Error,APAC,Branch,Risk Scoring Engine,0,1283.16
11021,2023-07-08,Payments,High,No,16.7,Configuration Issue,LATAM,Mobile,Authentication Server,0,2061.66
7616,2023-07-08,Login/Authentication,High,Yes,14.9,Vendor Delay,APAC,API,Customer Onboarding,1,2806.5
2245,2023-07-08,Card Transactions,Medium,No,11.2,Configuration Issue,APAC,API,Risk Scoring Engine,0,600.01
10062,2023-07-08,API Failure,Low,No,7.1,System Error,North America,Web,Authentication Server,0,2118.67
889,2023-07-08,Payments,Low,No,13.8,Network Issue,LATAM,Mobile,Customer Onboarding,0,2380.54
11127,2023-07-08,Settlement Delay,High,Yes,11.6,System Error,APAC,API,Payments Gateway,0,1260.91
3821,2023-07-08,Fraud Alert,Low,No,16.8,User Error,North America,Mobile,Authentication Server,1,1886.13
6338,2023-07-08,Account Update,Low,No,6.1,Policy Exception,LATAM,Mobile,Risk Scoring Engine,0,1121.36
10073,2023-07-08,Fraud Alert,Medium,Yes,14.3,User Error,North America,Mobile,Core Banking,0,2237.32
11228,2023-07-08,Login/Authentication,High,No,14.6,Configuration Issue,APAC,Mobile,Payments Gateway,1,577.71
1457,2023-07-08,Fraud Alert,Medium,No,10.6,Network Issue,North America,API,Payments Gateway,0,1928.21
2097,2023-07-08,Payments,Critical,No,8.4,Network Issue,North America,Web,Customer Onboarding,0,1013.71
2792,2023-07-08,Account Update,Low,No,9.7,Network Issue,APAC,Mobile,Risk Scoring Engine,0,1305.07
1806,2023-07-08,Funds Transfer,Low,No,3.5,User Error,EMEA,Mobile,Customer Onboarding,0,2143.71
10209,2023-07-08,Funds Transfer,Medium,No,8.1,Network Issue,North America,Branch,Customer Onboarding,1,473.19
8553,2023-07-08,Payments,Low,No,23.1,Vendor Delay,EMEA,API,Customer Onboarding,0,1267.06
8453,2023-07-08,Settlement Delay,Medium,No,9.9,Policy Exception,APAC,Branch,Risk Scoring Engine,0,1063.86
4172,2023-07-08,Payments,Low,No,15.7,Configuration Issue,APAC,Branch,Customer Onboarding,0,417.79
3478,2023-07-08,API Failure,Low,No,11.9,Vendor Delay,North America,API,Core Banking,1,613.53
8212,2023-07-08,Account Update,High,No,10.9,System Error,LATAM,API,Risk Scoring Engine,1,718.94
5078,2023-07-08,Login/Authentication,Low,No,13.3,Vendor Delay,APAC,Mobile,Risk Scoring Engine,0,231.05
4568,2023-07-08,Account Update,Low,No,9.1,User Error,APAC,Branch,Payments Gateway,0,14909.43
8017,2023-07-08,Fraud Alert,Low,No,3.9,Configuration Issue,EMEA,API,Customer Onboarding,0,2677.27
8439,2023-07-08,Login/Authentication,Medium,No,18.6,Policy Exception,EMEA,Branch,Customer Onboarding,1,2515.3
630,2023-07-08,Fraud Alert,Low,No,13.1,Configuration Issue,North America,Mobile,Authentication Server,0,465.11
501,2023-07-08,Settlement Delay,High,No,7.3,Vendor Delay,LATAM,Web,Data Warehouse,0,325.3
9643,2023-07-08,API Failure,Medium,No,8.5,Network Issue,LATAM,Branch,Payments Gateway,0,960.18
9350,2023-07-08,Card Transactions,Low,Yes,2.0,Network Issue,North America,API,Data Warehouse,1,2013.74
8478,2023-07-08,Payments,Low,No,17.7,Network Issue,APAC,Mobile,Customer Onboarding,0,1273.45
7613,2023-07-09,Login/Authentication,Medium,No,15.4,User Error,LATAM,API,Customer Onboarding,0,1863.6
9638,2023-07-09,Card Transactions,Low,Yes,9.1,Vendor Delay,LATAM,Web,Payments Gateway,0,1747.02
4022,2023-07-09,Payments,Medium,Yes,13.4,Vendor Delay,APAC,Web,Authentication Server,0,2343.5
6796,2023-07-09,Login/Authentication,Low,Yes,12.3,Network Issue,APAC,API,Risk Scoring Engine,0,2145.4
11748,2023-07-09,Account Update,Medium,Yes,2.9,Configuration Issue,LATAM,Web,Risk Scoring Engine,0,588.37
10557,2023-07-09,Settlement Delay,Low,No,5.4,Configuration Issue,EMEA,Branch,Data Warehouse,1,101.54
10811,2023-07-09,Card Transactions,Low,Yes,10.3,User Error,LATAM,API,Payments Gateway,0,537.3
7052,2023-07-09,Funds Transfer,Low,Yes,13.2,Policy Exception,APAC,API,Authentication Server,0,11006.28
1311,2023-07-09,Login/Authentication,High,No,14.0,Configuration Issue,LATAM,Web,Payments Gateway,0,2712.31
10354,2023-07-09,Account Update,Medium,No,3.0,System Error,LATAM,Branch,Authentication Server,0,875.94
11395,2023-07-09,Account Update,Critical,No,12.6,Configuration Issue,North America,Mobile,Core Banking,0,925.88
4388,2023-07-09,Fraud Alert,High,No,6.2,System Error,North America,Web,Core Banking,1,2207.8
7744,2023-07-09,Settlement Delay,Low,Yes,8.3,System Error,LATAM,Mobile,Data Warehouse,0,2056.91
6351,2023-07-09,Funds Transfer,Medium,No,14.9,Vendor Delay,North America,Web,Authentication Server,1,356.47
9797,2023-07-09,Card Transactions,Low,No,10.4,User Error,APAC,Branch,Risk Scoring Engine,0,834.11
11613,2023-07-09,API Failure,Low,No,2.2,Configuration Issue,LATAM,Branch,Risk Scoring Engine,1,428.21
5039,2023-07-09,Settlement Delay,Low,Yes,3.8,Configuration Issue,APAC,API,Customer Onboarding,0,2082.23
5822,2023-07-09,Payments,Low,Yes,8.3,Configuration Issue,North America,Mobile,Data Warehouse,0,536.19
425,2023-07-09,Card Transactions,Low,No,12.6,System Error,LATAM,Web,Risk Scoring Engine,0,2230.33
9943,2023-07-09,Settlement Delay,Low,No,18.3,Network Issue,APAC,API,Customer Onboarding,0,416.98
10711,2023-07-09,API Failure,High,No,3.3,Vendor Delay,North America,Branch,Payments Gateway,0,446.01
195,2023-07-09,Login/Authentication,Low,No,12.4,Network Issue,APAC,API,Core Banking,1,1880.63
9751,2023-07-10,Settlement Delay,Low,No,9.5,Network Issue,North America,Mobile,Risk Scoring Engine,0,1357.42
2917,2023-07-10,Payments,Critical,No,10.6,Network Issue,EMEA,Branch,Authentication Server,0,961.93
1794,2023-07-10,Payments,Low,No,7.0,System Error,EMEA,API,Customer Onboarding,1,2092.97
7275,2023-07-10,Funds Transfer,Low,No,14.6,Policy Exception,North America,API,Risk Scoring Engine,0,1326.0
2572,2023-07-10,Funds Transfer,Low,Yes,9.2,Network Issue,EMEA,API,Risk Scoring Engine,1,1028.99
4885,2023-07-10,Account Update,Low,No,14.9,User Error,EMEA,Branch,Data Warehouse,0,2580.4
10760,2023-07-10,Settlement Delay,High,Yes,10.5,System Error,LATAM,Branch,Authentication Server,0,1364.0
7030,2023-07-10,Fraud Alert,Low,No,12.0,Vendor Delay,APAC,Mobile,Core Banking,0,344.54
9307,2023-07-10,API Failure,Medium,No,16.4,Vendor Delay,North America,Branch,Customer Onboarding,0,361.45
1403,2023-07-10,Funds Transfer,Low,No,9.8,Network Issue,APAC,Mobile,Data Warehouse,0,1887.61
5637,2023-07-10,Account Update,High,Yes,8.4,Configuration Issue,North America,API,Authentication Server,0,2058.55
2816,2023-07-10,Fraud Alert,High,No,9.1,Vendor Delay,LATAM,Mobile,Data Warehouse,0,21261.86
8225,2023-07-10,Login/Authentication,Low,Yes,4.5,Vendor Delay,EMEA,Web,Core Banking,0,763.67
4844,2023-07-10,Login/Authentication,Medium,Yes,5.6,Configuration Issue,EMEA,Branch,Payments Gateway,0,2475.5
6584,2023-07-10,Payments,Low,No,10.5,Network Issue,North America,API,Data Warehouse,0,36823.69
4546,2023-07-10,Payments,Medium,No,15.5,Vendor Delay,EMEA,Branch,Authentication Server,0,2258.65
1573,2023-07-10,Card Transactions,Low,Yes,16.7,Network Issue,LATAM,Branch,Authentication Server,0,1064.1
3743,2023-07-10,Fraud Alert,Low,No,6.6,Configuration Issue,EMEA,Branch,Customer Onboarding,0,2642.46
7602,2023-07-10,API Failure,High,No,11.7,User Error,North America,Web,Core Banking,1,2751.53
9618,2023-07-10,Card Transactions,Low,No,11.8,Policy Exception,EMEA,Web,Payments Gateway,0,1132.74
516,2023-07-10,Fraud Alert,High,No,13.2,Network Issue,EMEA,Branch,Payments Gateway,0,773.31
1917,2023-07-10,Payments,Low,No,8.1,Policy Exception,North America,Web,Data Warehouse,0,1884.62
11175,2023-07-10,Payments,Medium,No,3.5,Network Issue,North America,Branch,Data Warehouse,1,1396.12
11462,2023-07-10,Account Update,Low,No,8.2,User Error,APAC,Mobile,Payments Gateway,0,791.32
717,2023-07-10,Account Update,Low,Yes,11.7,User Error,APAC,API,Payments Gateway,0,177.11
11213,2023-07-10,Card Transactions,Low,No,9.2,Policy Exception,APAC,Branch,Payments Gateway,0,2069.51
7128,2023-07-11,Payments,High,Yes,12.7,Policy Exception,EMEA,Mobile,Risk Scoring Engine,0,2431.89
6370,2023-07-11,Card Transactions,Low,No,10.6,Configuration Issue,EMEA,Branch,Risk Scoring Engine,0,2342.25
10981,2023-07-11,Account Update,Low,No,6.6,Network Issue,EMEA,API,Payments Gateway,0,1757.26
9011,2023-07-11,Payments,Medium,Yes,8.4,Vendor Delay,APAC,Mobile,Payments Gateway,0,1854.6
1284,2023-07-11,Settlement Delay,Medium,No,10.0,Vendor Delay,LATAM,API,Customer Onboarding,0,28113.69
3541,2023-07-11,Settlement Delay,High,Yes,3.4,Configuration Issue,North America,Web,Risk Scoring Engine,0,1682.2
9248,2023-07-11,Funds Transfer,Medium,No,5.0,Configuration Issue,North America,Web,Authentication Server,0,1051.0
6546,2023-07-11,Fraud Alert,Critical,No,8.0,Vendor Delay,EMEA,Branch,Core Banking,0,1086.43
7595,2023-07-11,Card Transactions,Low,Yes,10.8,Configuration Issue,North America,API,Data Warehouse,0,21053.78
793,2023-07-11,Card Transactions,Medium,No,8.4,Vendor Delay,LATAM,Branch,Risk Scoring Engine,0,1204.19
1103,2023-07-11,Payments,Critical,No,13.5,Vendor Delay,APAC,Branch,Payments Gateway,0,46539.48
5185,2023-07-11,Settlement Delay,Low,Yes,10.1,Policy Exception,EMEA,Mobile,Risk Scoring Engine,0,2381.82
8452,2023-07-11,API Failure,Medium,No,13.2,Configuration Issue,North America,API,Customer Onboarding,0,1039.95
3226,2023-07-11,Fraud Alert,Low,No,8.9,User Error,EMEA,API,Risk Scoring Engine,0,280.98
7073,2023-07-11,Funds Transfer,Low,No,10.9,Policy Exception,North America,Mobile,Authentication Server,1,706.8
972,2023-07-11,Funds Transfer,Low,No,13.9,Configuration Issue,North America,Branch,Customer Onboarding,1,2005.26
6548,2023-07-12,Funds Transfer,Low,No,12.9,Policy Exception,EMEA,Mobile,Customer Onboarding,1,594.37
9012,2023-07-12,Funds Transfer,High,No,8.2,Configuration Issue,APAC,Mobile,Authentication Server,0,722.28
8249,2023-07-12,Login/Authentication,Low,No,11.5,System Error,APAC,Branch,Authentication Server,0,1242.87
365,2023-07-12,Login/Authentication,Low,No,1.7,System Error,North America,Web,Authentication Server,0,693.25
4097,2023-07-12,API Failure,Critical,No,13.0,Policy Exception,North America,Web,Core Banking,0,169.01
8089,2023-07-12,Settlement Delay,Low,No,8.2,User Error,EMEA,Web,Payments Gateway,0,2492.81
4072,2023-07-12,Settlement Delay,High,Yes,5.2,Configuration Issue,LATAM,Web,Customer Onboarding,1,2964.3
5810,2023-07-12,Login/Authentication,Medium,No,11.6,User Error,North America,API,Risk Scoring Engine,0,27662.18
1712,2023-07-12,Settlement Delay,Low,No,11.6,Vendor Delay,North America,Mobile,Payments Gateway,0,52.87
2994,2023-07-12,Login/Authentication,Critical,No,10.2,System Error,EMEA,Mobile,Risk Scoring Engine,0,2755.48
10568,2023-07-12,API Failure,Low,No,8.9,Configuration Issue,North America,Web,Data Warehouse,0,2451.63
6634,2023-07-12,Fraud Alert,Low,No,2.2,System Error,APAC,Branch,Data Warehouse,0,940.37
7368,2023-07-12,Settlement Delay,Low,Yes,8.7,Network Issue,North America,Mobile,Customer Onboarding,0,1894.21
8074,2023-07-12,Payments,High,No,11.7,Configuration Issue,APAC,Web,Payments Gateway,0,2687.01
1928,2023-07-12,Account Update,Medium,No,14.3,Vendor Delay,North America,Mobile,Risk Scoring Engine,1,537.62
1434,2023-07-12,Settlement Delay,Low,No,12.8,System Error,LATAM,Mobile,Authentication Server,0,1668.07
6367,2023-07-12,Payments,Medium,Yes,11.9,Policy Exception,EMEA,Branch,Customer Onboarding,0,2216.89
1640,2023-07-12,Settlement Delay,Low,No,15.2,User Error,APAC,Mobile,Core Banking,0,972.66
7546,2023-07-12,Settlement Delay,Low,No,11.7,Configuration Issue,North America,Branch,Risk Scoring Engine,0,47979.7
1518,2023-07-12,Funds Transfer,Medium,No,10.6,System Error,EMEA,Branch,Risk Scoring Engine,0,2112.73
